Code,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
ABW,4.100963775,4.277072978,4.425833642,4.777505083,5.622020209,6.18729481,6.565660336,6.666022669,6.670840363,4.205989994,2.86046778,4.206093989,1.991637655,3.262643075,3.439352185,3.585278991,3.689024693,3.733753799,3.225018203,2.562433372,,,
AFE,14.65120957,14.71108008,14.09487338,14.45972258,14.39962833,13.57106088,12.22533361,11.87410983,11.18299868,11.61882129,11.12426944,10.48313303,10.28512355,9.943410897,9.749803753,9.953198921,9.949286631,9.781869418,10.83054262,10.7329119,10.35488753,10.48798179,10.52750258
AFG,,,18.82275218,16.92386623,17.55400626,16.59821222,16.3855372,17.74730953,17.8391163,13.14987661,12.52257684,13.77918924,12.48608514,11.49986726,11.47758756,11.420006,4.114196613,3.530422461,6.160177217,7.043181081,7.528114629,8.493156816,
AFW,12.58190503,12.5514021,11.55213576,11.60576934,10.79265071,10.43217148,9.594042284,9.550124302,9.434683545,9.26227173,8.118742474,8.717806247,8.688866235,9.977224348,10.4098916,10.16612441,9.86146461,9.957639343,10.42812477,11.37537446,11.90028375,13.09124199,12.60779169
AGO,2.890163321,3.873100814,3.661825665,3.999814529,4.681938309,3.912883549,3.612815774,3.39949164,3.461736807,5.109421549,4.541774035,4.167804733,4.403289533,4.827342652,4.763071572,5.685144803,6.752680742,6.580549657,6.059469233,6.137446984,7.063042725,6.540512976,7.434451651
ALB,4.317845806,4.09904002,4.066542833,4.124160074,4.177557018,4.425844014,4.904925321,5.296790979,4.997797675,5.197580984,5.452125407,5.661897674,4.614457714,5.059801356,5.325788985,5.671519417,5.684427418,6.158166884,6.13329356,6.256195102,6.156036162,6.155171233,6.536652879
AND,3.830854431,3.451746698,3.43814817,3.615787889,3.655047886,3.476748213,3.435046622,3.398816388,3.576934384,3.612316813,3.699789802,3.660604015,3.723835042,3.838156155,3.676873663,3.706089854,3.74112486,3.748832726,3.610284486,3.673689514,3.733569332,,
ARB,11.94456186,12.42851494,12.6932313,13.0429238,12.75880162,12.3903411,11.88574736,11.48892319,11.18756055,10.97945955,11.00532039,11.64015268,11.44577557,11.21330024,11.37724439,11.64367611,11.62014174,11.38734193,11.56740906,11.38415267,11.81638143,12.35364695,13.17147339
ARE,9.072000292,13.31375919,13.06347632,12.26246108,11.51238292,10.60803974,9.656954628,9.025577573,8.600265388,9.195377117,8.475421758,8.14829316,8.085036377,7.925744268,8.115294537,9.175893352,9.327460911,9.381380823,8.925789795,8.867353108,10.29178004,10.0017515,9.725953229
ARG,16.49427194,16.09322588,20.34777391,22.48675059,18.93701362,18.34041594,17.87779386,17.04741545,16.5383661,15.58377727,15.84486081,15.85069839,15.21680091,15.01105426,14.77277855,14.18158545,13.48802597,12.83516834,14.0601434,13.54083907,14.59052951,15.77343813,16.05333198
