Code,Year,Covered by emissions trading system in at least one sector
AFG,1989,No ETS
AFG,1990,No ETS
AFG,1991,No ETS
AFG,1992,No ETS
AFG,1993,No ETS
AFG,1994,No ETS
AFG,1995,No ETS
AFG,1996,No ETS
AFG,1997,No ETS
AFG,1998,No ETS
AFG,1999,No ETS
AFG,2000,No ETS
AFG,2001,No ETS
AFG,2002,No ETS
AFG,2003,No ETS
AFG,2004,No ETS
AFG,2005,No ETS
AFG,2006,No ETS
AFG,2007,No ETS
AFG,2008,No ETS
AFG,2009,No ETS
AFG,2010,No ETS
AFG,2011,No ETS
AFG,2012,No ETS
AFG,2013,No ETS
AFG,2014,No ETS
AFG,2015,No ETS
AFG,2016,No ETS
AFG,2017,No ETS
AFG,2018,No ETS
AFG,2019,No ETS
AFG,2020,No ETS
AFG,2021,No ETS
AFG,2022,No ETS
ALB,1989,No ETS
ALB,1990,No ETS
ALB,1991,No ETS
ALB,1992,No ETS
ALB,1993,No ETS
ALB,1994,No ETS
ALB,1995,No ETS
ALB,1996,No ETS
ALB,1997,No ETS
ALB,1998,No ETS
ALB,1999,No ETS
ALB,2000,No ETS
ALB,2001,No ETS
ALB,2002,No ETS
ALB,2003,No ETS
ALB,2004,No ETS
ALB,2005,No ETS
ALB,2006,No ETS
ALB,2007,No ETS
ALB,2008,No ETS
ALB,2009,No ETS
ALB,2010,No ETS
ALB,2011,No ETS
ALB,2012,No ETS
ALB,2013,No ETS
ALB,2014,No ETS
ALB,2015,No ETS
ALB,2016,No ETS
ALB,2017,No ETS
ALB,2018,No ETS
ALB,2019,No ETS
ALB,2020,No ETS
ALB,2021,No ETS
ALB,2022,No ETS
DZA,1989,No ETS
DZA,1990,No ETS
DZA,1991,No ETS
DZA,1992,No ETS
DZA,1993,No ETS
DZA,1994,No ETS
DZA,1995,No ETS
DZA,1996,No ETS
DZA,1997,No ETS
DZA,1998,No ETS
DZA,1999,No ETS
DZA,2000,No ETS
DZA,2001,No ETS
DZA,2002,No ETS
DZA,2003,No ETS
DZA,2004,No ETS
DZA,2005,No ETS
DZA,2006,No ETS
DZA,2007,No ETS
DZA,2008,No ETS
DZA,2009,No ETS
DZA,2010,No ETS
DZA,2011,No ETS
DZA,2012,No ETS
DZA,2013,No ETS
DZA,2014,No ETS
DZA,2015,No ETS
DZA,2016,No ETS
DZA,2017,No ETS
DZA,2018,No ETS
DZA,2019,No ETS
DZA,2020,No ETS
DZA,2021,No ETS
DZA,2022,No ETS
AND,1989,No ETS
AND,1990,No ETS
AND,1991,No ETS
AND,1992,No ETS
AND,1993,No ETS
AND,1994,No ETS
AND,1995,No ETS
AND,1996,No ETS
AND,1997,No ETS
AND,1998,No ETS
AND,1999,No ETS
AND,2000,No ETS
AND,2001,No ETS
AND,2002,No ETS
AND,2003,No ETS
AND,2004,No ETS
AND,2005,No ETS
AND,2006,No ETS
AND,2007,No ETS
AND,2008,No ETS
AND,2009,No ETS
AND,2010,No ETS
AND,2011,No ETS
AND,2012,No ETS
AND,2013,No ETS
AND,2014,No ETS
AND,2015,No ETS
AND,2016,No ETS
AND,2017,No ETS
AND,2018,No ETS
AND,2019,No ETS
AND,2020,No ETS
AND,2021,No ETS
AND,2022,No ETS
AGO,1989,No ETS
AGO,1990,No ETS
AGO,1991,No ETS
AGO,1992,No ETS
AGO,1993,No ETS
AGO,1994,No ETS
AGO,1995,No ETS
AGO,1996,No ETS
AGO,1997,No ETS
AGO,1998,No ETS
AGO,1999,No ETS
AGO,2000,No ETS
AGO,2001,No ETS
AGO,2002,No ETS
AGO,2003,No ETS
AGO,2004,No ETS
AGO,2005,No ETS
AGO,2006,No ETS
AGO,2007,No ETS
AGO,2008,No ETS
AGO,2009,No ETS
AGO,2010,No ETS
AGO,2011,No ETS
AGO,2012,No ETS
AGO,2013,No ETS
AGO,2014,No ETS
AGO,2015,No ETS
AGO,2016,No ETS
AGO,2017,No ETS
AGO,2018,No ETS
AGO,2019,No ETS
AGO,2020,No ETS
AGO,2021,No ETS
AGO,2022,No ETS
ATG,1989,No ETS
ATG,1990,No ETS
ATG,1991,No ETS
ATG,1992,No ETS
ATG,1993,No ETS
ATG,1994,No ETS
ATG,1995,No ETS
ATG,1996,No ETS
ATG,1997,No ETS
ATG,1998,No ETS
ATG,1999,No ETS
ATG,2000,No ETS
ATG,2001,No ETS
ATG,2002,No ETS
ATG,2003,No ETS
ATG,2004,No ETS
ATG,2005,No ETS
ATG,2006,No ETS
ATG,2007,No ETS
ATG,2008,No ETS
ATG,2009,No ETS
ATG,2010,No ETS
ATG,2011,No ETS
ATG,2012,No ETS
ATG,2013,No ETS
ATG,2014,No ETS
ATG,2015,No ETS
ATG,2016,No ETS
ATG,2017,No ETS
ATG,2018,No ETS
ATG,2019,No ETS
ATG,2020,No ETS
ATG,2021,No ETS
ATG,2022,No ETS
ARG,1989,No ETS
ARG,1990,No ETS
ARG,1991,No ETS
ARG,1992,No ETS
ARG,1993,No ETS
ARG,1994,No ETS
ARG,1995,No ETS
ARG,1996,No ETS
ARG,1997,No ETS
ARG,1998,No ETS
ARG,1999,No ETS
ARG,2000,No ETS
ARG,2001,No ETS
ARG,2002,No ETS
ARG,2003,No ETS
ARG,2004,No ETS
ARG,2005,No ETS
ARG,2006,No ETS
ARG,2007,No ETS
ARG,2008,No ETS
ARG,2009,No ETS
ARG,2010,No ETS
ARG,2011,No ETS
ARG,2012,No ETS
ARG,2013,No ETS
ARG,2014,No ETS
ARG,2015,No ETS
ARG,2016,No ETS
ARG,2017,No ETS
ARG,2018,No ETS
ARG,2019,No ETS
ARG,2020,No ETS
ARG,2021,No ETS
ARG,2022,No ETS
ARM,1989,No ETS
ARM,1990,No ETS
ARM,1991,No ETS
ARM,1992,No ETS
ARM,1993,No ETS
ARM,1994,No ETS
ARM,1995,No ETS
ARM,1996,No ETS
ARM,1997,No ETS
ARM,1998,No ETS
ARM,1999,No ETS
ARM,2000,No ETS
ARM,2001,No ETS
ARM,2002,No ETS
ARM,2003,No ETS
ARM,2004,No ETS
ARM,2005,No ETS
ARM,2006,No ETS
ARM,2007,No ETS
ARM,2008,No ETS
ARM,2009,No ETS
ARM,2010,No ETS
ARM,2011,No ETS
ARM,2012,No ETS
ARM,2013,No ETS
ARM,2014,No ETS
ARM,2015,No ETS
ARM,2016,No ETS
ARM,2017,No ETS
ARM,2018,No ETS
ARM,2019,No ETS
ARM,2020,No ETS
ARM,2021,No ETS
ARM,2022,No ETS
AUS,1989,No ETS
AUS,1990,No ETS
AUS,1991,No ETS
AUS,1992,No ETS
AUS,1993,No ETS
AUS,1994,No ETS
AUS,1995,No ETS
AUS,1996,No ETS
AUS,1997,No ETS
AUS,1998,No ETS
AUS,1999,No ETS
AUS,2000,No ETS
AUS,2001,No ETS
AUS,2002,No ETS
AUS,2003,No ETS
AUS,2004,No ETS
AUS,2005,No ETS
AUS,2006,No ETS
AUS,2007,No ETS
AUS,2008,No ETS
AUS,2009,No ETS
AUS,2010,No ETS
