Code,Year,Covered by tax instrument in at least one sector
AFG,1989,No carbon tax
AFG,1990,No carbon tax
AFG,1991,No carbon tax
AFG,1992,No carbon tax
AFG,1993,No carbon tax
AFG,1994,No carbon tax
AFG,1995,No carbon tax
AFG,1996,No carbon tax
AFG,1997,No carbon tax
AFG,1998,No carbon tax
AFG,1999,No carbon tax
AFG,2000,No carbon tax
AFG,2001,No carbon tax
AFG,2002,No carbon tax
AFG,2003,No carbon tax
AFG,2004,No carbon tax
AFG,2005,No carbon tax
AFG,2006,No carbon tax
AFG,2007,No carbon tax
AFG,2008,No carbon tax
AFG,2009,No carbon tax
AFG,2010,No carbon tax
AFG,2011,No carbon tax
AFG,2012,No carbon tax
AFG,2013,No carbon tax
AFG,2014,No carbon tax
AFG,2015,No carbon tax
AFG,2016,No carbon tax
AFG,2017,No carbon tax
AFG,2018,No carbon tax
AFG,2019,No carbon tax
AFG,2020,No carbon tax
AFG,2021,No carbon tax
AFG,2022,No carbon tax
ALB,1989,No carbon tax
ALB,1990,No carbon tax
ALB,1991,No carbon tax
ALB,1992,No carbon tax
ALB,1993,No carbon tax
ALB,1994,No carbon tax
ALB,1995,No carbon tax
ALB,1996,No carbon tax
ALB,1997,No carbon tax
ALB,1998,No carbon tax
ALB,1999,No carbon tax
ALB,2000,No carbon tax
ALB,2001,No carbon tax
ALB,2002,No carbon tax
ALB,2003,No carbon tax
ALB,2004,No carbon tax
ALB,2005,No carbon tax
ALB,2006,No carbon tax
ALB,2007,No carbon tax
ALB,2008,No carbon tax
ALB,2009,No carbon tax
ALB,2010,No carbon tax
ALB,2011,No carbon tax
ALB,2012,No carbon tax
ALB,2013,No carbon tax
ALB,2014,No carbon tax
ALB,2015,No carbon tax
ALB,2016,No carbon tax
ALB,2017,No carbon tax
ALB,2018,No carbon tax
ALB,2019,No carbon tax
ALB,2020,No carbon tax
ALB,2021,No carbon tax
ALB,2022,No carbon tax
DZA,1989,No carbon tax
DZA,1990,No carbon tax
DZA,1991,No carbon tax
DZA,1992,No carbon tax
DZA,1993,No carbon tax
DZA,1994,No carbon tax
DZA,1995,No carbon tax
DZA,1996,No carbon tax
DZA,1997,No carbon tax
DZA,1998,No carbon tax
DZA,1999,No carbon tax
DZA,2000,No carbon tax
DZA,2001,No carbon tax
DZA,2002,No carbon tax
DZA,2003,No carbon tax
DZA,2004,No carbon tax
DZA,2005,No carbon tax
DZA,2006,No carbon tax
DZA,2007,No carbon tax
DZA,2008,No carbon tax
DZA,2009,No carbon tax
DZA,2010,No carbon tax
DZA,2011,No carbon tax
DZA,2012,No carbon tax
DZA,2013,No carbon tax
DZA,2014,No carbon tax
DZA,2015,No carbon tax
DZA,2016,No carbon tax
DZA,2017,No carbon tax
DZA,2018,No carbon tax
DZA,2019,No carbon tax
DZA,2020,No carbon tax
DZA,2021,No carbon tax
DZA,2022,No carbon tax
AND,1989,No carbon tax
AND,1990,No carbon tax
AND,1991,No carbon tax
AND,1992,No carbon tax
AND,1993,No carbon tax
AND,1994,No carbon tax
AND,1995,No carbon tax
AND,1996,No carbon tax
AND,1997,No carbon tax
AND,1998,No carbon tax
AND,1999,No carbon tax
AND,2000,No carbon tax
AND,2001,No carbon tax
AND,2002,No carbon tax
AND,2003,No carbon tax
AND,2004,No carbon tax
AND,2005,No carbon tax
AND,2006,No carbon tax
AND,2007,No carbon tax
AND,2008,No carbon tax
AND,2009,No carbon tax
AND,2010,No carbon tax
AND,2011,No carbon tax
AND,2012,No carbon tax
AND,2013,No carbon tax
AND,2014,No carbon tax
AND,2015,No carbon tax
AND,2016,No carbon tax
AND,2017,No carbon tax
AND,2018,No carbon tax
AND,2019,No carbon tax
AND,2020,No carbon tax
AND,2021,No carbon tax
AND,2022,No carbon tax
AGO,1989,No carbon tax
AGO,1990,No carbon tax
AGO,1991,No carbon tax
AGO,1992,No carbon tax
AGO,1993,No carbon tax
AGO,1994,No carbon tax
AGO,1995,No carbon tax
AGO,1996,No carbon tax
AGO,1997,No carbon tax
AGO,1998,No carbon tax
AGO,1999,No carbon tax
AGO,2000,No carbon tax
AGO,2001,No carbon tax
AGO,2002,No carbon tax
AGO,2003,No carbon tax
AGO,2004,No carbon tax
AGO,2005,No carbon tax
AGO,2006,No carbon tax
AGO,2007,No carbon tax
AGO,2008,No carbon tax
AGO,2009,No carbon tax
AGO,2010,No carbon tax
AGO,2011,No carbon tax
AGO,2012,No carbon tax
AGO,2013,No carbon tax
AGO,2014,No carbon tax
AGO,2015,No carbon tax
AGO,2016,No carbon tax
AGO,2017,No carbon tax
AGO,2018,No carbon tax
AGO,2019,No carbon tax
AGO,2020,No carbon tax
AGO,2021,No carbon tax
AGO,2022,No carbon tax
ATG,1989,No carbon tax
ATG,1990,No carbon tax
ATG,1991,No carbon tax
ATG,1992,No carbon tax
ATG,1993,No carbon tax
ATG,1994,No carbon tax
ATG,1995,No carbon tax
ATG,1996,No carbon tax
ATG,1997,No carbon tax
ATG,1998,No carbon tax
ATG,1999,No carbon tax
ATG,2000,No carbon tax
ATG,2001,No carbon tax
ATG,2002,No carbon tax
ATG,2003,No carbon tax
ATG,2004,No carbon tax
ATG,2005,No carbon tax
ATG,2006,No carbon tax
ATG,2007,No carbon tax
ATG,2008,No carbon tax
ATG,2009,No carbon tax
ATG,2010,No carbon tax
ATG,2011,No carbon tax
ATG,2012,No carbon tax
ATG,2013,No carbon tax
ATG,2014,No carbon tax
ATG,2015,No carbon tax
ATG,2016,No carbon tax
ATG,2017,No carbon tax
ATG,2018,No carbon tax
ATG,2019,No carbon tax
ATG,2020,No carbon tax
ATG,2021,No carbon tax
ATG,2022,No carbon tax
ARG,1989,No carbon tax
ARG,1990,No carbon tax
ARG,1991,No carbon tax
ARG,1992,No carbon tax
ARG,1993,No carbon tax
ARG,1994,No carbon tax
ARG,1995,No carbon tax
ARG,1996,No carbon tax
ARG,1997,No carbon tax
ARG,1998,No carbon tax
ARG,1999,No carbon tax
ARG,2000,No carbon tax
ARG,2001,No carbon tax
ARG,2002,No carbon tax
ARG,2003,No carbon tax
ARG,2004,No carbon tax
ARG,2005,No carbon tax
ARG,2006,No carbon tax
ARG,2007,No carbon tax
ARG,2008,No carbon tax
ARG,2009,No carbon tax
ARG,2010,No carbon tax
ARG,2011,No carbon tax
ARG,2012,No carbon tax
ARG,2013,No carbon tax
ARG,2014,No carbon tax
ARG,2015,No carbon tax
ARG,2016,No carbon tax
ARG,2017,No carbon tax
ARG,2018,Has a carbon tax
ARG,2019,Has a carbon tax
ARG,2020,Has a carbon tax
ARG,2021,Has a carbon tax
