Country,Code,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
Aruba,ABW,5.417261666,-5.08748023,-5.411987982,-0.151921482,6.023132962,-0.084879113,0.24685282,1.401979577,-0.224758911,-10.59912817,-3.886820453,3.05578791,-1.865105256,3.592223121,-0.29053442,5.129657088,1.587868753,1.519821434,,,
Africa Eastern and Southern,AFE,0.569977805,0.888639937,1.337972193,0.271500832,2.933164313,3.599817154,3.898307299,4.04477788,1.803461797,-1.740179903,2.340620471,1.223827794,-0.769509279,1.505305308,1.203259727,0.187859712,-0.674532556,-0.144709798,-0.185405595,-0.544414099,-5.403820445
Afghanistan,AFG,,,,3.868380295,-2.875203167,7.207967218,2.253310644,11.02278717,1.594215458,18.51541929,11.26409057,-2.681061056,8.974865343,1.97416569,-0.665291051,-1.622857186,-0.541416196,0.064764195,-1.194900383,1.535636674,-4.575031864
Africa Western and Central,AFW,1.000027019,2.444934933,7.010741239,2.738269497,5.149780411,3.018703951,2.533621788,2.667865817,3.386356702,3.383289176,4.056565923,2.017199274,2.315174891,3.260885983,3.096784162,0.007402359,-2.533562291,-0.390664944,0.241530875,0.49295312,-3.453975656
Angola,AGO,-0.267956298,0.822138302,9.943757743,-0.43183389,7.187063696,11.03078294,7.582318726,9.89004909,7.116847905,-2.808599596,0.640263325,-0.220842988,4.70651886,1.291993845,1.219880621,-2.468737307,-5.816187549,-3.409983376,-5.162111791,-3.795607965,-8.396241194
Albania,ALB,7.630022432,9.314397145,4.850475331,5.924211542,5.956569595,6.067882433,6.572922984,6.787228941,8.328108421,4.053139866,4.223083825,2.821642455,1.584872815,1.187234353,1.985388094,2.516827051,3.480293217,3.897740606,4.276325655,2.549358579,-3.398708468
Andorra,AND,1.910286412,4.982252338,0.510652937,4.042246268,3.781885829,1.895271315,2.060202314,-0.518849647,-6.885817402,-5.976684045,-1.966833159,0.834867424,-3.45153545,-1.568871338,4.519279413,3.02081678,4.646211549,0.734439351,1.574254317,1.833060593,-12.08829967
Arab World,ARB,4.352927639,-0.46147699,-1.52298207,2.471012189,6.614562905,3.037741811,3.603033147,2.043736273,3.240520161,-1.747432242,2.337697244,1.443763887,2.700095626,0.725441219,0.389027895,0.888157832,1.15295877,-1.006357856,0.468786241,0.137964422,-7.065181879
United Arab Emirates,ARE,4.909159703,-3.778905332,-2.750302954,1.966321187,-0.038010166,-7.020363051,-4.916669307,-11.34565271,-10.20864609,-15.15122468,-5.914930778,2.18634403,2.257098976,4.409938261,4.225677167,4.507817687,1.905205739,1.011430774,-0.320590314,1.934431483,-7.272172975
Argentina,ARG,-1.874936367,-5.447048173,-11.85478172,7.676534048,7.884937505,7.729488996,6.955533576,7.924210888,3.029500652,-6.854225055,9.300122922,4.788683139,-2.14528445,1.265685175,-3.57858051,1.629664279,-3.110063898,1.757648183,-3.601609757,-2.994387889,-10.76510773
Armenia,ARM,6.570086565,10.27940312,13.82346307,14.60582159,11.13422934,14.64320764,14.07860742,14.69586826,7.819138194,-13.51939082,2.582897383,4.7283176,6.913698623,2.823926169,3.073178678,2.735918024,-0.161329865,7.18452239,4.952230836,7.38219728,-7.572060526
American Samoa,ASM,,,,0.256153661,0.091870463,-0.19579254,-3.371501219,3.146660118,-1.172397267,-2.788560506,1.356786303,0.590081607,-4.187040198,-2.583995908,1.627844464,3.121880892,-1.561204901,-6.783548017,2.959910556,-0.219737965,4.138083663
