Code,Year,Manufacturing
AFG,2002,18.822752
AFG,2003,16.923866
AFG,2004,17.554007
AFG,2005,16.598211
AFG,2006,16.385538
AFG,2007,17.747309
AFG,2008,17.839117
AFG,2009,13.149877
AFG,2010,12.522577
AFG,2011,13.779189
AFG,2012,12.486085
AFG,2013,11.499867
AFG,2014,11.477588
AFG,2015,11.420006
AFG,2016,4.114197
AFG,2017,3.5304224
AFG,2018,6.160177
AFG,2019,7.043181
AFG,2020,7.6762567
AFG,2021,9.060748
ALB,1996,4.857952
ALB,1997,4.583429
ALB,1998,4.7239428
ALB,1999,4.532523
ALB,2000,4.317846
ALB,2001,4.09904
ALB,2002,4.0665426
ALB,2003,4.1241603
ALB,2004,4.177557
ALB,2005,4.425844
ALB,2006,4.9049253
ALB,2007,5.296791
ALB,2008,4.9977975
ALB,2009,5.197581
ALB,2010,5.4521255
ALB,2011,5.6618977
ALB,2012,4.6144576
ALB,2013,5.0598016
ALB,2014,5.325789
ALB,2015,5.6715193
ALB,2016,5.6844273
ALB,2017,6.158147
ALB,2018,6.133262
ALB,2019,6.256195
ALB,2020,6.038044
ALB,2021,6.2306213
DZA,1999,34.479053
DZA,2000,44.980396
DZA,2001,40.233795
DZA,2002,38.773735
DZA,2003,41.065044
DZA,2004,42.84511
DZA,2005,48.797325
DZA,2006,49.879425
DZA,2007,47.801117
DZA,2008,48.95478
DZA,2009,35.86954
DZA,2010,39.03524
DZA,2011,39.593506
DZA,2012,37.75906
DZA,2013,33.548897
DZA,2014,30.936035
DZA,2015,23.173098
DZA,2016,21.684683
DZA,2017,23.918922
DZA,2018,26.549953
DZA,2019,23.861916
DZA,2020,18.824917
DZA,2021,25.99505
ASM,2002,21.289062
ASM,2003,20.610687
ASM,2004,15.520629
ASM,2005,13.6
ASM,2006,13.590263
ASM,2007,14.864865
ASM,2008,20
ASM,2009,24.148148
ASM,2010,7.155323
ASM,2011,3.6842105
ASM,2012,13.90625
ASM,2013,14.576802
ASM,2014,11.975117
ASM,2015,13.967311
ASM,2016,13.710879
ASM,2017,10.947712
ASM,2018,13.928013
ASM,2019,12.36476
ASM,2020,15.223464
AND,2000,3.8308544
AND,2001,3.4517467
AND,2002,3.4381483
AND,2003,3.615788
AND,2004,3.655048
AND,2005,3.4767482
AND,2006,3.4350467
AND,2007,3.3988163
AND,2008,3.5769343
AND,2009,3.6123168
AND,2010,3.6997898
AND,2011,3.660604
AND,2012,3.723835
AND,2013,3.8381562
AND,2014,3.6768737
AND,2015,3.70609
AND,2016,3.7411249
AND,2017,3.7488327
AND,2018,3.6102846
AND,2019,3.6736896
AND,2020,3.7335694
AGO,1995,3.6462808
AGO,1996,3.44575
AGO,1997,4.3783913
AGO,1998,6.259371
AGO,1999,3.2228758
AGO,2000,2.8901634
AGO,2001,3.8731008
AGO,2002,3.6618257
AGO,2003,3.9998145
AGO,2004,4.681938
AGO,2005,3.9128835
AGO,2006,3.6128159
AGO,2007,3.3994915
AGO,2008,3.461737
AGO,2009,5.1094217
AGO,2010,4.5417743
AGO,2011,4.1678047
AGO,2012,4.4032893
AGO,2013,4.8273425
AGO,2014,4.7630715
AGO,2015,5.685145
AGO,2016,6.752681
AGO,2017,6.5805497
AGO,2018,6.059469
AGO,2019,6.1374454
AGO,2020,6.909306
AGO,2021,5.1688504
ATG,1977,3.4103384
ATG,1978,3.7919648
ATG,1979,3.7572544
ATG,1980,3.9925883
ATG,1981,3.782576
ATG,1982,3.9148984
ATG,1983,3.7010882
ATG,1984,3.5458713
ATG,1985,3.219415
ATG,1986,2.8353958
ATG,1987,2.616198
ATG,1988,2.315637
ATG,1989,2.337658
ATG,1990,2.5181973
ATG,1991,2.270473
ATG,1992,2.0592556
ATG,1993,1.8249514
ATG,1994,1.6902719
ATG,1995,1.7130098
ATG,1996,1.6235455
ATG,1997,1.642297
ATG,1998,1.6685154
ATG,1999,1.6889508
ATG,2000,1.631409
ATG,2001,1.7401564
ATG,2002,1.8173301
ATG,2003,1.9046218
ATG,2004,1.8556178
ATG,2005,1.7914555
ATG,2006,1.8178387
ATG,2007,1.6944801
ATG,2008,1.5884558
ATG,2009,2.0612154
ATG,2010,2.1563828
ATG,2011,2.2463715
ATG,2012,2.1099677
ATG,2013,2.7392623
ATG,2014,2.7549582
ATG,2015,2.6829627
ATG,2016,2.7274039
ATG,2017,2.4907029
ATG,2018,2.4746025
ATG,2019,2.3027253
ATG,2020,2.4306982
ATG,2021,2.3199666
ARG,1965,41.18416
ARG,1966,41.008583
ARG,1967,37.824028
ARG,1968,36.19622
ARG,1969,36.64543
ARG,1970,31.544744
ARG,1971,35.76286
ARG,1972,36.358074
ARG,1973,34.333973
ARG,1974,34.036884
ARG,1975,38.215107
ARG,1976,39.11676
ARG,1977,36.594986
ARG,1978,34.12761
ARG,1979,32.685158
ARG,1980,29.476097
ARG,1981,28.765236
ARG,1982,31.360256
ARG,1983,30.669468
ARG,1984,29.70844
ARG,1985,29.641848
ARG,1986,27.419598
ARG,1987,27.496647
ARG,1988,27.999676
ARG,1989,30.949371
ARG,1990,26.789705
ARG,1991,24.38645
ARG,1992,21.85913
ARG,1993,18.239912
ARG,1994,17.819092
ARG,1995,17.246752
ARG,1996,17.535723
ARG,1997,18.227905
ARG,1998,17.83796
ARG,1999,16.961525
ARG,2000,16.494272
ARG,2001,16.093225
ARG,2002,20.347775
ARG,2003,22.48675
ARG,2004,18.937014
ARG,2005,18.340416
ARG,2006,17.877794
ARG,2007,17.047415
ARG,2008,16.538366
ARG,2009,15.583777
ARG,2010,15.844861
ARG,2011,15.850698
ARG,2012,15.216801
ARG,2013,15.011054
ARG,2014,14.7727785
ARG,2015,14.181585
ARG,2016,13.488026
ARG,2017,12.835168
ARG,2018,14.060143
ARG,2019,13.540839
ARG,2020,14.367145
ARG,2021,15.479166
ARM,2012,9.424759
ARM,2013,9.682575
ARM,2014,9.666406
ARM,2015,9.206171
ARM,2016,10.28465
ARM,2017,10.631126
ARM,2018,11.271918
ARM,2019,11.711492
ARM,2020,12.34491
ARM,2021,11.404182
ABW,1995,2.5177665
ABW,1996,2.5101213
ABW,1997,2.477024
ABW,1998,2.7940288
ABW,1999,3.5992217
ABW,2000,4.101551
ABW,2001,4.2766423
ABW,2002,4.4254556
ABW,2003,4.777453
ABW,2004,5.622225
ABW,2005,6.1879263
ABW,2006,6.5655284
ABW,2007,6.6659923
ABW,2008,6.670859
ABW,2009,4.206257
ABW,2010,2.860428
ABW,2011,4.2058873
ABW,2012,1.9917325
ABW,2013,3.2625434
ABW,2014,3.4390912
ABW,2015,3.5850112
ABW,2016,3.6888223
ABW,2017,3.734056
ABW,2018,3.1296406
AUS,1990,13.78846
AUS,1991,12.566331
AUS,1992,12.577931
AUS,1993,12.872466
AUS,1994,13.2047205
AUS,1995,13.115455
AUS,1996,12.735192
AUS,1997,12.295285
AUS,1998,12.462578
AUS,1999,11.943746
AUS,2000,11.562311
AUS,2001,10.984925
AUS,2002,10.548997
AUS,2003,10.859555
AUS,2004,10.879206
AUS,2005,10.33088
AUS,2006,9.887237
AUS,2007,9.285444
AUS,2008,9.197703
AUS,2009,8.4481325
AUS,2010,7.9897733
AUS,2011,7.365819
AUS,2012,7.048573
AUS,2013,6.6080136
AUS,2014,6.3683343
AUS,2015,6.2994323
AUS,2016,6.086075
AUS,2017,5.800283
AUS,2018,5.778138
AUS,2019,5.6050687
AUS,2020,5.626857
AUS,2021,5.5488343
AUT,1976,22.252728
AUT,1977,21.62662
AUT,1978,21.98836
AUT,1979,21.351944
AUT,1980,21.203226
AUT,1981,20.75365
AUT,1982,20.137165
AUT,1983,20.060349
AUT,1984,19.694687
AUT,1985,20.0173
AUT,1986,20.00854
AUT,1987,19.411396
AUT,1988,19.504965
AUT,1989,19.40399
AUT,1990,19.581114
AUT,1991,19.17174
AUT,1992,18.479635
AUT,1993,17.460207
AUT,1994,17.35652
AUT,1995,17.90588
AUT,1996,17.63221
AUT,1997,17.803535
AUT,1998,17.726768
AUT,1999,17.890932
AUT,2000,18.214968
AUT,2001,18.341093
AUT,2002,17.726784
AUT,2003,17.453175
AUT,2004,17.33646
AUT,2005,17.407818
AUT,2006,17.823437
AUT,2007,18.153648
AUT,2008,17.417465
AUT,2009,16.361996
AUT,2010,16.4785
AUT,2011,16.59561
AUT,2012,16.706123
AUT,2013,16.49573
AUT,2014,16.560015
AUT,2015,16.690037
AUT,2016,17.047415
AUT,2017,16.842709
AUT,2018,16.828753
AUT,2019,16.591013
AUT,2020,16.411863
AUT,2021,16.54585
AZE,1990,17.633015
AZE,1991,16.654192
AZE,1992,21.87714
AZE,1993,17.902866
AZE,1994,12.664745
AZE,1995,11.533415
AZE,1996,10.429627
AZE,1997,8.393756
AZE,1998,8.324129
AZE,1999,6.042224
AZE,2000,5.2923846
AZE,2001,6.1874485
AZE,2002,7.4309278
AZE,2003,8.636395
AZE,2004,8.28351
AZE,2005,6.4875226
