Code,Year,Renewable Energy Patent
,2000,82
,2001,139
,2002,146
,2003,155
,2004,204
,2005,241
,2006,216
,2007,314
,2008,399
,2009,462
,2010,691
,2011,1002
,2012,966
,2013,866
,2014,808
,2015,734
,2016,470
,2017,420
,2018,532
,2019,332
,2020,116
,2021,25
DZA,2000,5
DZA,2001,6
DZA,2002,2
ARG,2000,95
ARG,2001,63
ARG,2002,97
ARG,2003,75
ARG,2004,76
ARG,2005,95
ARG,2006,121
ARG,2007,128
ARG,2008,159
ARG,2009,188
ARG,2010,242
ARG,2011,177
ARG,2012,229
ARG,2013,243
ARG,2014,160
ARG,2015,148
ARG,2016,156
ARG,2017,108
ARG,2018,94
ARG,2019,102
ARG,2020,11
,2000,18241
,2001,19583
,2002,21455
,2003,23834
,2004,26976
,2005,30483
,2006,38137
,2007,42903
,2008,51765
,2009,63501
,2010,79107
,2011,95319
,2012,101636
,2013,94234
,2014,99169
,2015,106779
,2016,133747
,2017,158256
,2018,177162
,2019,184069
,2020,177479
,2021,52248
AUS,2000,1783
AUS,2001,2381
AUS,2002,1608
AUS,2003,3374
AUS,2004,882
AUS,2005,948
AUS,2006,1020
AUS,2007,1468
AUS,2008,1671
AUS,2009,2142
AUS,2010,2648
AUS,2011,2396
AUS,2012,2376
AUS,2013,2072
AUS,2014,1807
AUS,2015,1730
AUS,2016,1711
AUS,2017,1932
AUS,2018,2095
AUS,2019,1983
AUS,2020,1202
AUS,2021,727
AUT,2000,833
AUT,2001,817
AUT,2002,965
AUT,2003,875
AUT,2004,869
AUT,2005,943
AUT,2006,941
AUT,2007,1034
AUT,2008,1098
AUT,2009,755
AUT,2010,453
AUT,2011,278
AUT,2012,205
AUT,2013,162
AUT,2014,161
AUT,2015,170
AUT,2016,130
AUT,2017,151
AUT,2018,156
AUT,2019,161
AUT,2020,61
BLR,2007,1
BEL,2000,22
BEL,2001,13
BEL,2002,12
BEL,2003,7
BEL,2004,18
BEL,2005,35
BEL,2006,19
BEL,2007,40
BEL,2008,34
BEL,2009,46
BEL,2010,29
BEL,2011,49
BEL,2012,46
BEL,2013,30
BEL,2014,54
BEL,2015,40
BEL,2016,40
BEL,2017,66
BEL,2018,91
BEL,2019,46
BEL,2020,30
BEL,2021,1
BRA,2000,374
BRA,2001,470
BRA,2002,457
BRA,2003,489
BRA,2004,560
BRA,2005,641
BRA,2006,888
BRA,2007,1323
BRA,2008,1350
BRA,2009,1832
BRA,2010,2368
BRA,2011,2291
BRA,2012,2208
BRA,2013,1783
BRA,2014,1369
BRA,2015,1323
BRA,2016,1418
BRA,2017,1373
BRA,2018,1265
BRA,2019,998
BRA,2020,119
BRA,2021,14
BGR,2000,12
BGR,2001,22
BGR,2002,14
BGR,2003,21
BGR,2004,13
